Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-08-03 11:39:30.525 +0900,"Success",0:00:00,0,0,0,"20230803_113930.525/LogFile.txt","","",1
2023-08-03 13:35:50.200 +0900,"Success",0:00:00,0,0,0,"20230803_133550.200/LogFile.txt","","",1
2023-08-03 13:35:52.871 +0900,"Success",0:00:00,0,0,0,"20230803_133552.871/LogFile.txt","","",1
